times in msec
592.272: VimEnter autocommands
412.463  008.474: sourcing $HOME/.vimrc
356.237  100.547: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/.vim/_rc/pac.vim
255.690  255.189: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/_vim/pack/__Dev_Python__/opt/python-mode/plugin/pymode.vim
198.589  198.589: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/_vim/pack/__Find&Fold&Indent&Search&Jump__/start/searchvim/plugin/searchvim.vim
193.354: loading plugins
187.817: first screen update
105.929: starting GUI
079.587: loading packages
047.752  045.813: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/.vim/_rc/basic.vim
047.478  046.735: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/_vim/pack/complete-snippets-engine/start/ultisnips/plugin/UltiSnips.vim
045.179  045.179: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/_vim/pack/__Edit_Diff_Undo_Swap__/start/EngSpChk/plugin/engspchk.vim
043.722  029.034: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/_vim/pack/__Explore__/start/nerdtree/plugin/NERD_tree.vim
033.285  007.935: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/_vim/pack/__Code&DebugLint&Run&Tag__/start/vimtags_vim/plugin/vimtags.vim
028.796  015.143: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/_vim/pack/__Find&Fold&Indent&Search&Jump__/start/vim-fuzzyfinder/plugin/fuf.vim
027.609  027.064: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/_vim/pack/__Find&Fold&Indent&Search&Jump__/start/vim-easygrep/plugin/EasyGrep.vim
025.129  007.434: sourcing $VIM/vimrc
016.416  002.293: sourcing /private/var/containers/Bundle/Application/76D344F8-263C-4B2C-A0CD-FE55308DDA68/iVim.app/runtime/syntax/syntax.vim
015.124  015.124: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/.vim/pack/__FileTypes__/start/vimtex/autoload/vimtex.vim
013.075  013.075: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/.vim/pack/__Code&DebugLint&Run&Tag__/start/vimtags_vim/autoload/vimtags/defs/r.vim
011.291  006.484: sourcing /private/var/containers/Bundle/Application/76D344F8-263C-4B2C-A0CD-FE55308DDA68/iVim.app/runtime/filetype.vim
009.421  008.883: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/_vim/pack/misc/start/swy-ivim/plugin/vim_uctags.vim
009.086  009.086: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/_vim/pack/__Find&Fold&Indent&Search&Jump__/start/vim-grepper/plugin/grepper.vim
007.931  007.819: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/.vim/pack/__Dev_Python__/opt/python-mode/plugin/pymode.vim
006.833  005.898: sourcing /private/var/containers/Bundle/Application/76D344F8-263C-4B2C-A0CD-FE55308DDA68/iVim.app/runtime/colors/murphy.vim
006.192  004.588: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/_vim/pack/misc/start/vim-timetap/plugin/timetap.vim
006.098  006.098: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/_vim/pack/__Clipboard&Yank&Comment__/start/yankring_200/plugin/yankring.vim
005.721  004.167: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/_vim/pack/___UI__/start/vim-airline/plugin/airline.vim
005.379  005.379: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/_vim/pack/__key&mode&motion&op&textobj__/start/vim-easymotion/plugin/EasyMotion.vim
005.232  005.232: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/_vim/pack/__key&mode&motion&op&textobj__/start/vim-sneak/plugin/sneak.vim
005.056  005.056: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/_vim/pack/__Edit_Diff_Undo_Swap__/start/VOoM/plugin/voom.vim
004.831: BufEnter autocommands
004.807  004.567: sourcing /private/var/containers/Bundle/Application/76D344F8-263C-4B2C-A0CD-FE55308DDA68/iVim.app/runtime/menu.vim
004.732: opening buffers
004.679  004.328: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/_vim/pack/__Clipboard&Yank&Comment__/start/tcomment_vim/plugin/tcomment.vim
004.518  003.892: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/.vim/pack/__Edit_Diff_Undo_Swap__/start/tabular/after/plugin/TabularMaps.vim
004.430  004.430: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/_vim/pack/__Clipboard&Yank&Comment__/start/nerdcommenter/plugin/NERD_commenter.vim
003.518  003.518: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/_vim/pack/__Find&Fold&Indent&Search&Jump__/start/eregex.vim/plugin/eregex.vim
003.486  003.486: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/.vim/pack/__Code&DebugLint&Run&Tag__/start/tagbar/autoload/tagbar.vim
003.424  002.920: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/.vim/pack/misc/start/devotion.vim/autoload/devotion.vim
003.094  003.094: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/_vim/pack/__FileTypes__/start/vim-polyglot/ftdetect/polyglot.vim
002.993  002.993: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/.vim/pack/_hi&&sy&th_/start/vim-highlighturl/autoload/highlighturl.vim
002.970  002.595: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/_vim/pack/__Edit_Diff_Undo_Swap__/start/splitjoin.vim/plugin/splitjoin.vim
002.865: Allocated generic buffers
002.856  002.340: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/_vim/pack/__Find&Fold&Indent&Search&Jump__/start/ctrlp.vim/plugin/ctrlp.vim
002.832  001.090: sourcing /private/var/containers/Bundle/Application/76D344F8-263C-4B2C-A0CD-FE55308DDA68/iVim.app/runtime/syntax/synload.vim
002.830: inits 1
002.627  002.627: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/_vim/pack/__Find&Fold&Indent&Search&Jump__/start/mru/plugin/mru.vim
002.535  002.535: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/.vim/pack/__Code&DebugLint&Run&Tag__/start/vimtags_vim/autoload/vimtags/defs/kotlin.vim
002.377  001.433: sourcing /private/var/mobile/Containers/Data/Application/EFEEF93A-2AA6-4B6B-83D1-DD8971FF3349/Documents/.vim/pack/___UI__/start/vim-airline/autoload/airline/extensions/term.vim
